timestamp,decline,decline_rad,tan_decl,cos-1_decl
2020-12-13,-23.20572053862547,-0.4050162286966864,-0.42871873560951707,1.088025622061642
2020-12-14,-23.261816552228392,-0.4059952888313009,-0.4298782338161917,1.0884830250899316
2020-12-15,-23.310180289822245,-0.4068393952908842,-0.4308786904450537,1.088878526686813
2020-12-16,-23.350783064598286,-0.40754804739617184,-0.4317191651554123,1.0892113833239563
2020-12-17,-23.383600221887782,-0.40812081484201845,-0.43239885396536704,1.0894809630785491
2020-12-18,-23.408611183666558,-0.40855733847414855,-0.4329170917350945,1.0896867477933152
2020-12-19,-23.425799486160106,-0.40885733094548965,-0.43327335423709434,1.0898283348729114
2020-12-20,-23.43515281038496,-0.4090205772492199,-0.4334672598004225,1.0899054387050682
2020-12-21,-23.43666300549314,-0.4090469351262052,-0.4334985705185371,1.089917891697175
2020-12-22,-23.43032610481857,-0.4089363353450621,-0.43336719301308346,1.0898656449214459
2020-12-23,-23.416142334557616,-0.4086887818536619,-0.4330731787487357,1.089748768364312
2020-12-24,-23.39411611504945,-0.40830435180147745,-0.4326167238970449,1.089567450778249
2020-12-25,-23.364256054656128,-0.40778319543276964,-0.4319981687501166,1.0893219991368275
2020-12-26,-23.32657493627563,-0.4071255358511962,-0.43121799668777683,1.0890128376963328
2020-12-27,-23.281089696554776,-0.40633166865700837,-0.4302768327047047,1.0886405066698521
2020-12-28,-23.227821397903327,-0.40540196145860496,-0.42917544150678627,1.0882056605221941
2020-12-29,-23.16679519343987,-0.40433685326072233,-0.42791472518853496,1.0877090658963817
2020-12-30,-23.09804028503437,-0.4031368537321392,-0.4264957205060241,1.087151599184747
2020-12-31,-23.021589874639798,-0.4018025423562531,-0.42491959576211147,1.0865342437597796
2021-01-01,-22.98578456506765,-0.4011776218145232,-0.42418203740877153,1.0862460130468863
2021-01-02,-22.898342707331544,-0.3996514734929677,-0.4223824521987385,1.0855445342893213
2021-01-03,-22.803302651992688,-0.3979927116060271,-0.4204291224597482,1.0847859913421973
2021-01-04,-22.70071089019787,-0.3962021475772858,-0.4183236399429467,1.083971709840767
2021-01-05,-22.59061762259933,-0.394280657573412,-0.4160677099849833,1.083103106491782
2021-01-06,-22.473076678717103,-0.3922291810967653,-0.413663146665737,1.0821816847966885
2021-01-07,-22.348145431424303,-0.3900487194928827,-0.4111118677305102,1.0812090305712714
2021-01-08,-22.215884706911336,-0.3877403343790583,-0.4084158893048624,1.080186807286907
2021-01-09,-22.07635869049461,-0.3853051460003947,-0.4055773204307365,1.079116751258999
2021-01-10,-21.929634828645796,-0.3827443315198916,-0.4025983574528438,1.0780006667083875
2021-01-11,-21.77578372762252,-0.3800591232492171,-0.3994812782842774,1.076840420721492
2021-01-12,-21.61487904908818,-0.3772508068269298,-0.3962284365802015,1.0756379381347567
2021-01-13,-21.44699740310954,-0.37432071935093497,-0.3928422558480431,1.0743951963685334
2021-01-14,-21.272218238919187,-0.37127024747192955,-0.3893252235219919,1.0731142202349426
2021-01-15,-21.090623733829272,-0.36810082545458095,-0.38567988502886524,1.0717970767434843
2021-01-16,-20.902298680676402,-0.3648139332130701,-0.38190883787139934,1.0704458699272386
2021-01-17,-20.707330374172155,-0.36141109432753343,-0.3780147257539379,1.0690627357114384
2021-01-18,-20.50580849652487,-0.3578938740477872,-0.374000232774236,1.067649836845013
2021-01-19,-20.29782500268611,-0.35426387729049946,-0.3698680777036871,1.0662093579143923
2021-01-20,-20.08347400556608,-0.3505227466358221,-0.3656210083768753,1.0647435004575154
2021-01-21,-19.862851661548834,-0.3466721603292535,-0.36126179620979804,1.0632544781945334
2021-01-22,-19.636056056617583,-0.34271383029415087,-0.3567932308643911,1.0617445123901752
2021-01-23,-19.4031870933976,-0.33864950016025663,-0.35221811507558465,1.060215827361296
2021-01-24,-19.164346379393336,-0.3344809433130681,-0.34753925965517113,1.0586706461415016
2021-01-25,-18.919637116688882,-0.3302099609687476,-0.34275947868527934,1.057111186313249
2021-01-26,-18.669163993360026,-0.3258383802789052,-0.3378815849125202,1.0555396560162942
2021-01-27,-18.41303307682823,-0.32136805246927463,-0.33290838535223005,1.0539582501398377
2021-01-28,-18.151351709369674,-0.3168008510160017,-0.32784267711065496,1.0523691467042737
2021-01-29,-17.884228405972,-0.3121386698629085,-0.32268724343132127,1.0507745034370148
2021-01-30,-17.611772754714437,-0.3073834216827986,-0.31744484997036654,1.0491764545455204
2021-01-31,-17.334095319829974,-0.30253703618557254,-0.31211824130419763,1.0475771076893696
2021-02-01,-17.211174426910688,-0.3003916618846396,-0.3097654412159259,1.0468785166253518
2021-02-02,-16.92618926021054,-0.29541773240637714,-0.3043225813907755,1.0452809352247583
2021-02-03,-16.636255252522147,-0.2903574293587121,-0.2988020866207757,1.043687063716385
2021-02-04,-16.341485623850108,-0.285212728803504,-0.29320660564710266,1.042098898183419
2021-02-05,-16.041994175811286,-0.27998561695366103,-0.28753875346203833,1.0405183971187164
